id,year,returnSe,season,earning1,Nindnme
2,2007,0.0744819,1,0.1044046,K
2,2007,0.1525016,2,0.2840168,K
2,2007,0.5794979,3,0.190722,K
2,2007,-0.0450331,4,0.2910273,K
2,2008,-0.112344,1,0.0425093,K
2,2008,-0.6480469,2,0.1489288,K
2,2008,-0.2752497,3,0.3020348,K
2,2008,-0.0122512,4,0.7340164,K
2,2009,0.2837209,1,0.1423088,K
2,2009,0.5398551,2,0.386791,K
2,2009,-0.1827451,3,0.2973493,K
2,2009,0.0374281,4,0.6374659,K
2,2010,-0.1211841,1,0.1123772,K
2,2010,-0.2863158,2,0.3437079,K
2,2010,0.238938,3,0.5828922,K
2,2010,-0.0214285,4,1.087094,K
2,2011,0.0571775,1,0.1495462,K
2,2011,-0.0276179,2,0.3866456,K
2,2011,-0.1431953,3,0.50201,K
2,2011,0.031768,4,1.655076,K
2,2012,0.1084337,1,0.2116602,K
2,2012,0.076087,2,0.5658559,K
2,2012,-0.053872,3,0.7125908,K
2,2012,0.2004744,4,1.919328,K
2,2013,0.0632411,1,0.1826555,K
2,2013,-0.0845725,2,0.5122625,K
2,2013,-0.0730965,3,0.7841467,K
2,2013,-0.120482,4,2.066358,K
2,2014,0.007472,1,0.210336,K
2,2014,0.0222497,2,0.6999187,K
2,2014,0.1100363,3,0.9480224,K
2,2014,0.5141611,4,2.166002,K
2,2015,-0.0057554,1,0.0671898,K
2,2015,0.0506513,2,0.5052989,K
2,2015,-0.1232783,3,0.6749441,K
2,2015,0.9190888,4,2.095484,K
2,2016,0.0712239,3,0.4750782,K
2,2016,-0.2147497,4,1.114037,K
2,2017,0.0014599,1,0.0555051,K
2,2017,0.2133139,2,0.5023381,K
2,2017,0.0512615,3,0.6102028,K
2,2017,0.1832381,4,1.457665,K
4,2007,0.8585366,1,0.0147216,G
4,2007,-0.1692913,2,-0.0551051,G
4,2007,0.4834124,3,-0.0835129,G
4,2007,0.0607028,4,-0.1268415,G
4,2008,-0.1777109,1,-0.005439,G
4,2008,-0.4212454,2,-0.0182543,G
4,2008,-0.1603375,3,-0.0770644,G
4,2008,-0.1055277,4,-0.3436044,G
4,2009,0.5477529,1,-0.025747,G
4,2009,0.4682395,2,-0.0180199,G
